和谐附加轻疾病保险费率表,,,,,,,,,,,,
"(每1,000元基本保险金额单位：人民币元)",,,,,,,,,,,,
"投保年龄（周岁）",保险期间：保至75周岁,,,,,,,,,,,
,0,0,3,3,5,5,10,10,15,15,20,20
,1,2,1,2,1,2,1,2,1,2,1,2
0,49.2,42.1,17,14.6,10.6,9,5.7,4.9,4.1,3.5,3.4,2.9
1,50.4,43.1,17.4,14.9,10.8,9.2,5.9,5,4.2,3.6,3.4,2.9
2,51.7,44.2,17.9,15.3,11.1,9.5,6,5.1,4.3,3.7,3.5,3
3,53.1,45.4,18.3,15.7,11.4,9.7,6.2,5.3,4.5,3.8,3.6,3.1
4,54.5,46.7,18.8,16.1,11.7,10,6.3,5.4,4.6,3.9,3.7,3.2
5,56.1,48,19.4,16.6,12,10.3,6.5,5.6,4.7,4,3.8,3.3
6,57.7,49.5,20,17.1,12.4,10.6,6.7,5.7,4.8,4.1,3.9,3.4
7,59.5,51,20.6,17.6,12.7,10.9,6.9,5.9,5,4.3,4.1,3.5
8,61.4,52.6,21.2,18.2,13.1,11.3,7.1,6.1,5.2,4.4,4.2,3.6
9,63.4,54.2,21.9,18.7,13.6,11.6,7.4,6.3,5.3,4.6,4.3,3.7
10,65.5,56,22.6,19.3,14,12,7.6,6.5,5.5,4.7,4.5,3.8
11,67.6,57.7,23.4,20,14.5,12.4,7.8,6.7,5.7,4.8,4.6,3.9
12,69.8,59.6,24.1,20.6,14.9,12.7,8.1,6.9,5.9,5,4.8,4.1
13,72.1,61.4,24.9,21.2,15.4,13.1,8.4,7.1,6.1,5.2,4.9,4.2
14,74.4,63.4,25.7,21.9,15.9,13.6,8.6,7.4,6.3,5.3,5.1,4.3
15,76.9,65.3,26.6,22.6,16.5,14,8.9,7.6,6.5,5.5,5.3,4.5
16,79.3,67.4,27.4,23.3,17,14.4,9.2,7.8,6.7,5.7,5.4,4.6
17,81.9,69.5,28.3,24,17.5,14.9,9.5,8.1,6.9,5.8,5.6,4.8
18,84.5,71.6,29.2,24.8,18.1,15.3,9.8,8.3,7.1,6,5.8,4.9
19,87.2,73.8,30.2,25.5,18.7,15.8,10.1,8.6,7.4,6.2,6,5.1
20,90,76.1,31.1,26.3,19.3,16.3,10.5,8.8,7.6,6.4,6.2,5.2
21,92.9,78.5,32.1,27.1,19.9,16.8,10.8,9.1,7.8,6.6,6.4,5.4
22,95.8,80.9,33.1,28,20.5,17.3,11.1,9.4,8.1,6.8,6.6,5.6
23,98.8,83.4,34.2,28.8,21.2,17.9,11.5,9.7,8.3,7,6.8,5.7
24,101.9,85.9,35.3,29.7,21.8,18.4,11.9,10,8.6,7.2,7,5.9
25,105.1,88.5,36.4,30.6,22.5,18.9,12.2,10.3,8.9,7.5,7.3,6.1
26,108.4,91.1,37.5,31.5,23.2,19.5,12.6,10.6,9.2,7.7,7.5,6.3
27,111.8,93.7,38.7,32.4,24,20.1,13,10.9,9.5,7.9,7.7,6.5
28,115.3,96.4,39.9,33.3,24.7,20.7,13.4,11.2,9.8,8.2,8,6.7
29,118.8,99.1,41.1,34.3,25.5,21.2,13.9,11.5,10.1,8.4,8.3,6.9
30,122.5,101.8,42.4,35.2,26.3,21.8,14.3,11.9,10.4,8.6,8.5,7.1
31,126.3,104.6,43.7,36.2,27.1,22.4,14.7,12.2,10.7,8.9,8.8,7.3
32,130.2,107.3,45,37.1,27.9,23,15.2,12.5,11.1,9.1,9.1,7.5
33,134.1,110,46.4,38.1,28.8,23.6,15.7,12.9,11.4,9.4,9.4,7.7
34,138.2,112.7,47.8,39,29.7,24.2,16.2,13.2,11.8,9.6,9.7,7.9
35,142.3,115.4,49.3,39.9,30.6,24.8,16.7,13.5,12.2,9.8,10,8.1
36,146.4,118.1,50.7,40.9,31.5,25.4,17.2,13.8,12.6,10.1,10.4,8.3
37,150.6,120.8,52.2,41.8,32.4,25.9,17.7,14.2,13,10.3,10.7,8.5
38,154.8,123.5,53.6,42.7,33.3,26.5,18.2,14.5,13.4,10.6,11.1,8.7
39,159,126.1,55.1,43.7,34.2,27.1,18.8,14.8,13.8,10.8,11.4,8.9
40,163.2,128.6,56.6,44.6,35.2,27.7,19.3,15.1,14.2,11.1,11.8,9.1
41,167.4,131.1,58,45.4,36.1,28.2,19.8,15.4,14.6,11.3,12.2,9.3
42,171.4,133.5,59.4,46.2,37,28.7,20.4,15.7,15,11.5,12.5,9.5
43,175.3,135.7,60.8,47,37.9,29.2,20.9,16,15.4,11.8,12.9,9.7
44,179,137.9,62.2,47.8,38.7,29.7,21.4,16.3,15.8,12,13.3,9.9
45,182.6,139.9,63.4,48.5,39.5,30.2,21.9,16.6,16.2,12.2,13.6,10.1
46,185.9,141.7,64.6,49.2,40.3,30.6,22.3,16.8,16.6,12.4,,
47,189,143.4,65.7,49.8,41,31,22.8,17.1,17,12.6,,
48,191.8,144.9,66.7,50.3,41.7,31.3,23.2,17.3,17.4,12.8,,
49,194.3,146.2,67.6,50.8,42.3,31.6,23.6,17.5,17.7,12.9,,
50,196.4,147.4,68.4,51.2,42.8,31.9,24,17.6,18,13.1,,
51,198.1,148.3,69.1,51.5,43.3,32.1,24.3,17.8,,,,
52,199.4,148.9,69.6,51.8,43.6,32.3,24.5,17.9,,,,
53,200.3,149.4,69.9,52,43.9,32.4,24.8,18,,,,
54,200.7,149.5,70.1,52,44.1,32.5,25,18.1,,,,
55,200.6,149.4,70.2,52,44.1,32.5,25.1,18.2,,,,
