保单年度初年龄（周岁）,1,2
40,1.08,1.9
41,1.21,2.09
42,1.37,2.28
43,1.54,2.5
44,1.75,2.72
45,1.98,2.93
46,2.23,3.12
47,2.51,3.3
48,2.82,3.47
49,3.15,3.64
50,3.51,3.8
51,3.9,3.96
52,4.32,4.13
53,4.76,4.31
54,5.23,4.5
55,5.74,4.71
56,6.27,4.93
57,6.83,5.18
58,7.42,5.46
59,8.04,5.76
60,8.7,6.1
61,9.38,6.47
62,10.1,6.89
63,10.85,7.34
64,11.64,7.84
65,12.45,8.4
66,12.47,8.4
67,12.7,8.41
68,13.71,9.02
69,14.82,9.8
70,16.26,10.56
71,17.51,11.43
72,18.85,12.37
73,19.94,13.17
74,21.09,14.06
75,22.31,15.04
76,23.65,16.14
77,25.1,17.37
78,26.35,18.41
79,27.69,19.55
80,29.25,20.87
81,30.88,22.25
82,32.58,23.67
83,34.09,25.01
84,35.68,26.37
85,37.39,27.76
